                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5923,                 1.8154,                 1.6013,                0.95005,                0.95656,                 0.9836,                0.74686,                0.92395,                 0.4767,                 1.2142,              0.0033311,              0.0033311,              0.0033311
                      2,                 1.0453,                0.67837,                 1.1906,                0.97711,                0.97285,                0.98868,                0.77865,                0.84314,                0.40663,                 1.1445,              0.0065325,              0.0065325,              0.0065325
                      3,                  1.023,                0.68321,                 1.1799,                0.97307,                0.95154,                0.98401,                0.79546,                0.78337,                0.42607,                 1.1105,              0.0096019,              0.0096019,              0.0096019
                      4,                0.98731,                0.66867,                 1.1625,                0.98113,                0.97659,                0.98948,                0.83678,                0.67737,                0.34657,                 1.0253,               0.009406,               0.009406,               0.009406
                      5,                0.88102,                 0.5947,                 1.1003,                0.98284,                0.98455,                0.99096,                0.86363,                0.58851,                0.30253,                0.97635,               0.009406,               0.009406,               0.009406
                      6,                0.80897,                   0.54,                 1.0576,                0.98863,                0.98818,                0.99374,                 0.8743,                0.57038,                0.28245,                0.96797,               0.009208,               0.009208,               0.009208
                      7,                0.75993,                0.50597,                 1.0318,                0.98961,                0.98686,                0.99307,                0.88476,                0.54298,                0.27467,                 0.9531,                0.00901,                0.00901,                0.00901
                      8,                0.71834,                0.47899,                 1.0102,                0.98677,                0.98841,                0.99288,                0.90195,                0.49735,                0.25198,                0.92756,               0.008812,               0.008812,               0.008812
                      9,                0.68672,                0.45552,                0.99262,                0.98894,                0.99209,                0.99342,                0.91385,                0.46449,                0.23654,                0.90775,               0.008614,               0.008614,               0.008614
                     10,                0.66196,                0.43966,                0.98004,                0.99166,                0.99423,                0.99359,                0.92017,                0.45275,                0.22209,                0.91496,               0.008416,               0.008416,               0.008416
                     11,                0.63702,                0.42615,                0.96785,                0.99296,                0.99562,                0.99406,                0.92513,                0.44507,                0.21588,                0.90758,               0.008218,               0.008218,               0.008218
                     12,                0.62134,                0.41575,                0.96123,                0.98978,                0.99576,                0.99391,                0.92639,                 0.4328,                0.21071,                0.90368,                0.00802,                0.00802,                0.00802
                     13,                0.61193,                0.41134,                0.95835,                0.99226,                 0.9972,                0.99388,                0.93133,                  0.412,                 0.1982,                0.89259,               0.007822,               0.007822,               0.007822
                     14,                0.59249,                0.39965,                0.95004,                 0.9931,                0.99596,                 0.9938,                0.93872,                0.39897,                0.19283,                0.88791,               0.007624,               0.007624,               0.007624
                     15,                0.58406,                0.39068,                0.94544,                0.99149,                0.99582,                0.99416,                0.94273,                 0.3849,                0.18663,                 0.8848,               0.007426,               0.007426,               0.007426
                     16,                0.57029,                0.38361,                0.93896,                0.99449,                0.99598,                  0.994,                0.94552,                0.37917,                0.18124,                0.88281,               0.007228,               0.007228,               0.007228
                     17,                0.56264,                0.37737,                0.93389,                0.99284,                0.99477,                 0.9938,                0.94259,                 0.3817,                0.18178,                0.88465,                0.00703,                0.00703,                0.00703
                     18,                0.55464,                0.37324,                0.93117,                0.99425,                0.99654,                0.99401,                0.95058,                0.37166,                0.17804,                0.88046,               0.006832,               0.006832,               0.006832
                     19,                0.54342,                0.36585,                0.92544,                 0.9945,                0.99727,                0.99395,                0.95387,                 0.3587,                0.16987,                0.87658,               0.006634,               0.006634,               0.006634
                     20,                0.53543,                 0.3621,                 0.9215,                0.99483,                0.99723,                0.99398,                0.95205,                0.35577,                0.16834,                0.87281,               0.006436,               0.006436,               0.006436
                     21,                0.52404,                0.35055,                0.91694,                0.99508,                0.99733,                0.99395,                0.95327,                0.35157,                0.16604,                0.86908,               0.006238,               0.006238,               0.006238
                     22,                0.51702,                0.35152,                0.91473,                0.99455,                0.99703,                0.99422,                0.95754,                0.34409,                0.16297,                0.86683,                0.00604,                0.00604,                0.00604
                     23,                0.50961,                0.34538,                0.91101,                0.99555,                0.99644,                0.99404,                0.95678,                0.34144,                0.16113,                0.85643,               0.005842,               0.005842,               0.005842
                     24,                0.50363,                0.33943,                0.90801,                 0.9951,                0.99766,                0.99379,                0.96032,                0.33396,                0.15663,                0.86201,               0.005644,               0.005644,               0.005644
                     25,                0.49802,                0.33661,                0.90655,                0.99475,                0.99689,                0.99406,                0.96018,                0.33238,                0.15543,                0.86264,               0.005446,               0.005446,               0.005446
                     26,                0.48877,                0.32739,                 0.9037,                0.99517,                0.99736,                  0.994,                0.96175,                0.32865,                0.15305,                0.86304,               0.005248,               0.005248,               0.005248
                     27,                0.48315,                0.32707,                0.90083,                0.99502,                0.99739,                0.99378,                0.96285,                0.32453,                0.15144,                0.86245,                0.00505,                0.00505,                0.00505
                     28,                0.47368,                0.31898,                0.89537,                0.99501,                0.99732,                0.99399,                0.96286,                0.32357,                0.15027,                0.86296,               0.004852,               0.004852,               0.004852
                     29,                0.47027,                0.32071,                0.89752,                0.99468,                0.99692,                0.99392,                0.96337,                0.32057,                0.14832,                0.86246,               0.004654,               0.004654,               0.004654
                     30,                0.46503,                 0.3135,                0.89351,                0.99485,                 0.9971,                0.99398,                0.96361,                0.31741,                0.14806,                0.86182,               0.004456,               0.004456,               0.004456
                     31,                0.46065,                0.31439,                 0.8908,                0.99492,                0.99736,                0.99402,                0.96521,                0.31446,                0.14587,                 0.8614,               0.004258,               0.004258,               0.004258
                     32,                0.45439,                 0.3088,                0.89079,                0.99581,                0.99732,                0.99402,                0.96496,                0.31367,                0.14423,                0.86124,                0.00406,                0.00406,                0.00406
                     33,                0.44743,                0.30443,                0.88607,                0.99528,                0.99711,                0.99406,                0.96608,                0.31265,                0.14389,                0.86065,               0.003862,               0.003862,               0.003862
